ID,Difficulty,Question_Text,Correct_Answer,Distractor_1,Distractor_2
63,Financial Forecasting (Level 2),What is profit?,Revenue minus costs,Revenue plus costs,Costs minus revenue
64,Financial Forecasting (Level 2),What is a fixed cost?,Does not change,Changes with output,Paid once
65,Financial Forecasting (Level 2),What is a variable cost?,Changes with output,Always the same,Paid once
66,Financial Forecasting (Level 2),What is a start-up cost?,Cost to set up,Daily running cost,Unexpected cost
67,Financial Forecasting (Level 2),What is an operating cost?,Cost of running business,Loan,Grant
68,Financial Forecasting (Level 2),What is direct cost?,Linked to production,Office rent,Manager salary
69,Financial Forecasting (Level 2),What is indirect cost?,Not linked to production,Raw materials,Packaging
70,Financial Forecasting (Level 2),What is gross profit?,Revenue minus direct costs,Revenue minus all costs,Total revenue
71,Financial Forecasting (Level 2),What is net profit?,Gross profit minus indirect costs,Revenue minus direct costs,Total revenue
72,Financial Forecasting (Level 2),What is break-even?,No profit no loss,Maximum profit,Maximum loss
73,Financial Forecasting (Level 2),What does break-even show?,Where revenue equals costs,Total sales,Total costs
74,Financial Forecasting (Level 2),What is contribution?,Price minus variable cost,Fixed costs,Net profit
75,Financial Forecasting (Level 2),What is a break-even graph?,Shows costs and revenue,Shows cash only,Shows staff levels
76,Financial Forecasting (Level 2),What is margin of safety?,Amount above break-even,Total profit,Total costs
77,Financial Forecasting (Level 2),What is cash inflow?,Money coming in,Money going out,Profit
78,Financial Forecasting (Level 2),What is cash outflow?,Money going out,Money coming in,Revenue
79,Financial Forecasting (Level 2),What is opening balance?,Cash at start,Cash at end,Total sales
80,Financial Forecasting (Level 2),What is closing balance?,Cash at end,Cash at start,Total profit
81,Financial Forecasting (Level 2),What is cash flow?,Inflow minus outflow,Revenue minus costs,Profit only
82,Financial Forecasting (Level 2),What is a cash flow forecast?,Prediction of cash,Record of sales,Profit statement
83,Financial Forecasting (Level 2),Why is cash flow important?,Pay bills,Set prices,Hire staff
84,Financial Forecasting (Level 2),What can cause cash problems?,Late payments,High sales,Low costs
85,Financial Forecasting (Level 2),What is a positive cash flow?,More inflow than outflow,More outflow than inflow,No cash
86,Financial Forecasting (Level 2),What is a negative cash flow?,More outflow than inflow,More inflow than outflow,Break-even
87,Financial Forecasting (Level 2),Why forecast cash flow?,Plan ahead,Increase profit,Reduce sales
88,Financial Forecasting (Level 2),What is monthly data?,Figures for each month,Figures for year,Figures for day
89,Financial Forecasting (Level 2),What affects break-even?,Costs and price,Staff names,Business logo
90,People in Organisations (Level 2),What is a job role?,A set of duties,A business aim,A product
91,People in Organisations (Level 2),What is a job description?,Details of a job,Details of a company,Details of pay only
92,People in Organisations (Level 2),What is a person specification?,Skills needed,Job location,Business plan
93,People in Organisations (Level 2),What is recruitment?,Finding employees,Training staff,Paying wages
94,People in Organisations (Level 2),What is an interview?,Meeting to assess applicant,Training session,Staff meeting
95,People in Organisations (Level 2),What is a CV?,Summary of skills,Application decision,Job contract
96,People in Organisations (Level 2),What is an application form?,Form to apply for job,Pay record,Training plan
97,People in Organisations (Level 2),What is organisational structure?,How roles are arranged,Building layout,Pay system
98,People in Organisations (Level 2),What is a tall structure?,Many levels,Few levels,No managers
99,People in Organisations (Level 2),What is a flat structure?,Few levels,Many levels,No staff
100,People in Organisations (Level 2),What is span of control?,Number of people managed,Area covered,Salary level
101,People in Organisations (Level 2),What is centralised structure?,Decisions at top,Decisions by staff,No decisions
102,People in Organisations (Level 2),What is decentralised structure?,Decisions spread out,Decisions only at top,No managers
103,People in Organisations (Level 2),What is progression?,Moving up roles,Leaving job,Changing pay
104,People in Organisations (Level 2),What is employability skill?,Skill for work,Personal hobby,Academic subject
105,People in Organisations (Level 2),What is teamwork?,Working with others,Working alone,Managing finance
106,People in Organisations (Level 2),What is communication skill?,Sharing information,Making profit,Using machines
107,People in Organisations (Level 2),What is career plan?,Plan for future work,Daily timetable,Job contract
108,People in Organisations (Level 2),What is SMART target?,Clear goal,Job role,Interview question
109,People in Organisations (Level 2),What is labour market information?,Data about jobs,Employee records,Pay slips
110,People in Organisations (Level 2),What is full-time work?,Standard hours,Few hours,Temporary work
111,People in Organisations (Level 2),What is part-time work?,Fewer hours,Full hours,Self-employed
112,People in Organisations (Level 2),What is contract work?,Fixed period job,Permanent job,Volunteer work
113,People in Organisations (Level 2),What is personal value?,What matters to you,Job title,Salary
114,People in Organisations (Level 2),What is equality?,Fair treatment,Same job,Same pay only
115,People in Organisations (Level 2),What is decision making?,Choosing options,Giving orders,Following rules
116,People in Organisations (Level 2),Why update career plan?,Skills change,Jobs end,Pay decreases
117,People in Organisations (Level 2),What is professional skill?,Skill for job role,Personal interest,Hobby
118,People in Organisations (Level 2),What is technical skill?,Job-specific skill,Communication,Teamwork
119,People in Organisations (Level 2),What is interview preparation?,Getting ready,Starting job,Leaving job
120,Marketing Plan (Level 2),What is marketing?,Finding and meeting customer needs,Making products,Paying wages
121,Marketing Plan (Level 2),Who are customers?,People who buy,People who work,People who supply
122,Marketing Plan (Level 2),What is a USP?,What makes product special,Product price,Business logo
123,Marketing Plan (Level 2),What is market segmentation?,Grouping customers,Setting prices,Selling goods
124,Marketing Plan (Level 2),What are the 4Ps?,"Product, Price, Place, Promotion","People, Profit, Plan, Price","Produce, Place, Pay, Promote"
125,Marketing Plan (Level 2),What is promotion?,Telling customers,Making goods,Delivering stock
126,Marketing Plan (Level 2),What is advertising?,Paid promotion,Customer service,Packaging
127,Marketing Plan (Level 2),What is sales promotion?,Short-term offers,Long-term price,Brand image
128,Marketing Plan (Level 2),What is public relations?,Building reputation,Direct selling,Market research
129,Marketing Plan (Level 2),What is direct marketing?,Contacting customers directly,TV adverts,Store displays
130,Marketing Plan (Level 2),What is a target market?,Chosen customer group,All customers,Suppliers
131,Marketing Plan (Level 2),What is market research?,Finding customer info,Selling products,Training staff
132,Marketing Plan (Level 2),What is primary research?,New data,Old data,Internet only
133,Marketing Plan (Level 2),What is secondary research?,Existing data,Surveys,Interviews
134,Marketing Plan (Level 2),What is a marketing plan?,Plan for marketing,Business accounts,Staff schedule
135,Marketing Plan (Level 2),What is customer need?,What customer wants,What business sells,What supplier offers
136,Marketing Plan (Level 2),What is product feature?,What product does,Product price,Product place
137,Marketing Plan (Level 2),What is product benefit?,Value to customer,Cost to business,Brand name
138,Marketing Plan (Level 2),What is pricing strategy?,How price is set,How product is made,How staff are trained
139,Marketing Plan (Level 2),What is place?,Where product is sold,Product design,Promotion method
140,Marketing Plan (Level 2),What is promotional objective?,What promotion aims to do,Total budget,Sales figure
141,Marketing Plan (Level 2),What is AIDA?,"Awareness, Interest, Desire, Action","Attention, Information, Decision, Action","Advertise, Inform, Deliver, Act"
142,Marketing Plan (Level 2),What is a budget?,Planned spending,Total profit,Cash inflow
143,Marketing Plan (Level 2),Why set a budget?,Control costs,Increase sales,Hire staff
144,Marketing Plan (Level 2),What is a micro business?,Very small business,Large company,Government organisation
145,Marketing Plan (Level 2),What is customer group?,People with similar needs,Staff group,Supplier group
146,Marketing Plan (Level 2),Why plan promotion?,Use money wisely,Increase costs,Reduce customers
147,Marketing Plan (Level 2),What is impact of promotion?,Effect on customers,Cost only,Product quality
148,Marketing Plan (Level 2),What is a marketing mix?,Combination of 4Ps,Sales target,Profit level
149,Marketing Plan (Level 2),Why is marketing important?,Attract customers,Reduce wages,Follow law
