ID,Difficulty,Question_Text,Correct_Answer,Distractor_1,Distractor_2
19,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
20,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
21,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
22,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
23,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
24,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
25,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
26,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
27,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
28,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
29,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
30,Hard,Unit 1 – Exploring Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
31,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
32,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
33,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
34,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
35,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
36,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
37,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
38,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
39,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
40,Easy,Unit 2 – Developing a Marketing Campaign: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
41,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
42,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
43,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
44,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
45,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
46,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
47,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
48,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
49,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
50,Medium,Unit 2 – Developing a Marketing Campaign: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
51,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
52,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
53,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
54,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
55,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
56,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
57,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
58,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
59,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
60,Hard,Unit 2 – Developing a Marketing Campaign: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
61,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
62,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
63,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
64,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
65,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
66,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
67,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
68,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
69,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
70,Easy,Unit 3 – Personal and Business Finance: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
71,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
72,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
73,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
74,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
75,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
76,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
77,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
78,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
79,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
80,Medium,Unit 3 – Personal and Business Finance: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
81,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
82,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
83,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
84,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
85,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
86,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
87,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
88,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
89,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
90,Hard,Unit 3 – Personal and Business Finance: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
91,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
92,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
93,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
94,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
95,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
96,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
97,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
98,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
99,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
100,Easy,Unit 4 – Managing an Event: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
101,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
102,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
103,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
104,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
105,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
106,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
107,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
108,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
109,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
110,Medium,Unit 4 – Managing an Event: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
111,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
112,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
113,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
114,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
115,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
116,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
117,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
118,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
119,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
120,Hard,Unit 4 – Managing an Event: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
121,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
122,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
123,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
124,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
125,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
126,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
127,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
128,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
129,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
130,Easy,Unit 5 – International Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
131,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
132,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
133,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
134,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
135,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
136,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
137,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
138,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
139,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
140,Medium,Unit 5 – International Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
141,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
142,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
143,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
144,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
145,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
146,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
147,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
148,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
149,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
150,Hard,Unit 5 – International Business: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
151,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
152,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
153,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
154,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
155,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
156,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
157,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
158,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
159,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
160,Easy,Unit 6 – Principles of Management: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
161,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
162,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
163,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
164,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
165,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
166,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
167,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
168,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
169,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
170,Medium,Unit 6 – Principles of Management: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
171,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
172,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
173,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
174,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
175,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
176,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
177,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
178,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
179,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
180,Hard,Unit 6 – Principles of Management: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
181,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
182,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
183,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
184,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
185,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
186,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
187,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
188,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
189,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
190,Easy,Unit 7 – Business Decision Making: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
191,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
192,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
193,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
194,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
195,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
196,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
197,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
198,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
199,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
200,Medium,Unit 7 – Business Decision Making: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
201,Hard,Unit 7 – Business Decision Making: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
202,Hard,Unit 7 – Business Decision Making: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
203,Hard,Unit 7 – Business Decision Making: Which statement best explains strategic decision making?,Using analysis to choose the best course of action,Making decisions based on instinct alone,Copying competitors without evaluation
